  0.76000001E+02  0.30000000E+02    332037       640    213496   8112340   3843456  12661105
  0.77000001E+02  0.30000000E+02    332037       665    213141   8136187   3850319  12690440
  0.78000001E+02  0.30000000E+02    332037       684    214573   8161272   3865077  12726990
  0.79000001E+02  0.30000000E+02    332037       713    212994   8180298   3859747  12750018
  0.80000001E+02  0.30000000E+02    332037       734    214609   8207572   3870468  12782312
  0.81000001E+02  0.30000000E+02    332037       755    215324   8228940   3886536  12806033
  0.82000001E+02  0.30000000E+02    332037       777    215802   8237177   3896762  12833442
  0.83000001E+02  0.30000000E+02    332037       794    218044   8249622   3911220  12859035
  0.84000001E+02  0.30000000E+02    332037       814    219410   8259208   3921632  12875706
  0.85000001E+02  0.30000000E+02    332037       847    216762   8269576   3911869  12889226
  0.86000001E+02  0.30000000E+02    332037       867    217954   8286179   3928009  12899364
  0.87000001E+02  0.30000000E+02    332037       886    219880   8297179   3943151  12923402
  0.88000001E+02  0.30000000E+02    332037       911    219104   8312264   3946180  12937626
  0.89000001E+02  0.30000000E+02    332037       932    219914   8326668   3955982  12959605
  0.90000001E+02  0.30000000E+02    332037       954    220733   8350805   3966097  12972666
  0.91000001E+02  0.30000000E+02    332037       971    221937   8357673   3976650  12992340
  0.92000001E+02  0.30000000E+02    332037       993    222157   8369508   3974972  12992023
  0.93000001E+02  0.30000000E+02    332037      1020    220287   8374132   3968282  12999428
  0.94000001E+02  0.30000000E+02    332037      1038    222093   8384394   3978513  13016595
  0.95000001E+02  0.30000000E+02    332037      1066    220705   8395320   3972718  13022852
  0.96000001E+02  0.30000000E+02    332037      1083    222562   8412110   3991187  13039060
  0.97000001E+02  0.30000000E+02    332037      1100    224256   8433904   3994945  13057277
  0.98000001E+02  0.30000000E+02    332037      1116    225263   8444550   4001426  13073040
  0.99000001E+02  0.30000000E+02    332037      1144    222535   8452332   3986221  13065524
  0.10000000E+03  0.30000000E+02    332037      1167    222704   8453851   3990516  13062882
  0.10100000E+03  0.30000000E+02    332037      1189    222611   8449738   3992447  13066774
  0.10200000E+03  0.30000000E+02    332037      1210    223011   8442608   3990543  13074359
  0.10300000E+03  0.30000000E+02    332037      1235    222072   8439249   3987103  13074401
  0.10400000E+03  0.30000000E+02    332037      1261    220427   8444100   3982813  13079222
  0.10500000E+03  0.30000000E+02    332037      1284    221385   8447189   3992493  13095306
  0.10600000E+03  0.30000000E+02    332037      1306    222183   8454712   3994091  13106584
  0.10700000E+03  0.30000000E+02    332037      1331    222516   8457026   3991468  13103392
  0.10800000E+03  0.30000000E+02    332037      1357    222077   8458330   3989607  13098386
  0.10900000E+03  0.30000000E+02    332037      1378    221941   8455886   3999707  13099181
  0.11000000E+03  0.30000000E+02    332037      1398    223103   8460166   4006641  13103371
  0.11100000E+03  0.30000000E+02    332037      1419    224085   8461239   4012320  13100761
  0.11200000E+03  0.30000000E+02    332037      1449    221502   8467872   4001758  13101994
  0.11300000E+03  0.30000000E+02    332037      1474    221236   8478489   4004916  13097918
  0.11400000E+03  0.30000000E+02    332037      1497    221498   8481799   4005183  13101293
  0.11500000E+03  0.30000000E+02    332037      1518    221600   8491796   4009189  13106350
  0.11600000E+03  0.30000000E+02    332037      1542    221008   8491515   4010946  13107733
  0.11700000E+03  0.30000000E+02    332037      1568    220261   8495690   4008520  13101419
  0.11800000E+03  0.30000000E+02    332037      1581    222737   8487292   4029552  13110147
  0.11900000E+03  0.30000000E+02    332037      1601    223612   8487645   4027892  13094758
